Author,Comment,Likes,Replies,Date
"@HussienAhmed-h8q","أليات غسيل الأموال وما تسببت فيه من انهيار اقتصادي داخلي  وتعرض كثير من الانسطه للكساد وافلاس الشركات في بعض الدول",0,0,12/29/2025
"@uzumakinaruto7443","الاقتصاد الاسلامي والفرق بينه وبين الاقتصاد الربوي",0,0,12/29/2025
"@mazenthedragon3699","تحدث كيف اصبحت المانيا قوه اقتصاديه",0,0,12/29/2025
"@عبدالله-غ3ذ5خ","هل ممكن موضوع التضخم يؤثر سلبا على اسعار الاسهم وهل تنصح بشراء مزيد من الاسهم قبل نهاية هذا العام . انا موجود في المانيا",0,0,12/28/2025
"@ahmedsaber7305","كل سنة وحضرتك طيب والاسرة الكريمة بخير وصحة وسعادة ان شاء الله ❤",0,0,12/28/2025
"@XPSTOP","‏اللهم إني أسألك الثبات في الأمر والعزيمة على الرشد وأسألك شكر نعمتك وحسن عبادتك وأسألك قلبا سليما ولسانا صادقا وأسألك من خير ما تعلم وأعوذ بك من شر ما تعلم وأستغفرك لما تعلم إنك أنت علام الغيوب.",0,0,12/28/2025
"@مؤيدالحاج-ر1د","<a href=""https://www.youtube.com/watch?v=8lU8-CLfQwk&amp;t=1208"">20:08</a><br>سبحان الله،.. الربا!",0,0,12/28/2025
"@abdulmalkdrwich1226","جزاك الله خيرا",0,0,12/28/2025
"@khalidgamea-j7b","اي والله حسيت بالغبن كلما أشتري شيء سعره مناسب لمستواي المالي جودته سيئة خاصة المنتجات الصينية الرخيصة للأسف أصبحت الصين تنافس الغرب في موضوع الجودة وبالتالي أسعار منتجاتها الأكثر جودة غالية جدا ونادرا ما أجد منتجا جيدا جدا بسعر معقول.",0,0,12/28/2025
"@faez1988","العراق ليش صاعد التضخم <br>عكس العالم",0,0,12/28/2025
"@adnanahli391","وسنه سعيده عليك اخوي اشرف",0,0,12/28/2025
"@egyptos7867","ربنا يفك كربك ويفرج همك ويرزقك من حيث لا تحتسب ويصرف عنك السؤ ❤",0,0,12/28/2025
"@maatheabdulsatar5182","استمر يا مبدع",0,0,12/28/2025
"@SelmaSalouma-j9b","ثرثرة معقدة فارغة سماع اخر دقيقتين يغني عن كل الحلقة",0,0,12/28/2025
"@basselessam4813","cheapflation<br>أكتر سلعتين غذائيتين شوفت بيحصل فيهم كدا بسكوت فيري والشيبسي بأنواعه",1,0,12/28/2025
"@muhammedmadani1718","( الإقتصاد الإسلامي ) <br>يا ريت يا أستاذ أشرف حلقة عنه. <br>هل موجود ولا لأ.  وهل تخلف المسلمين بشكل عام علميا أثر على عدم تطور الإقتصاد الإسلامي؟ ، وهل تبني نظرية إقتصادية إسلامية يمكن أن تقلل من العبء عن الطبقات الكادحة؟ <br><br>تحياتي لفريق إعداد البرنامج، ولمقدمه المتميز.",0,0,12/28/2025
"@kaokabsheen9707","لو ممكن يكون في سلسله لفهم الاقتصاد للمهتمين بيه ولكن غير دارسين",0,0,12/28/2025
"@mohammedelqady9856","عاوزين حلقة عن طرق الادخار وإيه أفضل الطرق في الوضع الحالي خصوصا للطبقة الوسطى",0,0,12/28/2025
"@mmmmmmmmmmmmmmmmmmm9","ازاي سعر النفط هيقل و الحصار على بيع النفط مطبق على روسيا و إيران",0,0,12/28/2025
"@AdamAdam-e9v1z","لماذا الدول  الافريقية  لا تستفيد من ريع البترول كما في دول الخليج و لا تنعكس على رفاهية السكان",0,0,12/28/2025
"@mnazih9870","ممكن تعمل حلقه عن الشباب البتغترب واهم الخطوات وطبعا عارف ان مش كل البيغترب بيقدر يتقلم أو يعمل فلوس تقدر تنصح الشباب حاليا ب اي ف ظل أن كل الشباب مبتفكرش غير ف السفر سواء كبير أو صغير راجل أو ست",0,0,12/28/2025
"@AmrAbdelbari","حابب اسمع عن مواضيع زي الاقتصاد الاسلامي، وتاريخ الاقتصاد عموما، وحابب افهم اشمعنا تايوان عليها العين والمشاكل، وحابب موضوع عن الأغنياء عموما ليه مش بيحصل عدالة طبيعية (الغني يصرف والفقير يبدأ يتكسب وحاله يتحسن تبدأ الطبقة الوسطى تبان وهكذا)",0,0,12/28/2025
"@AbuOmar1970h","<a href=""https://www.youtube.com/watch?v=8lU8-CLfQwk&amp;t=810"">13:30</a>",0,0,12/28/2025
"@حليمةيوسف-م8ت","الله يفتح عليك حلقات لها فايدة",0,0,12/28/2025
"@MYInteriorArchitect","رَبِّ انْصُرْنِي عَلَى الْقَوْمِ الْمُفْسِدِينَ ، رَبِّ نَجِّنِي وَأَهْلِي مِمَّا يَعْمَلُونَ",1,0,12/28/2025
"@youssefsalah1","كلمنا عن المشاريع في مصر . الي معاه 20 او 50 او 100 او 250 ألف يعمل ايه ؟! . ازاي استثمر ؟! ازاي فلوسي تزيد أكتر من التضخم",0,0,12/27/2025
"@Ahmedahmed-vi9gh","احسن طرق تطبيق الضرائب بشكل عادل يقلل الفرق بين الطبقات -مزايا وعيوب ضريبة القيمة المضافة) علي الاقتصاد والأفراد",0,0,12/27/2025
"@hamah88","27.12",0,0,12/27/2025
"@menafarahat3387","انت استاااااذ 👌🏻",0,0,12/27/2025
"@OnceUponTime9","ممكن حلقة عن سوق العقارات فى مصر",0,0,12/27/2025
"@Nihadtawfik1","❤❤❤❤",0,0,12/27/2025
"@muhammadel-zeiny8850","تعليم الاستثمار",0,0,12/27/2025
"@mouloud9103","كيف يمكن أن أحسن من حالة المدنية . و أصبح غنيا..تحياتي دكتور",0,0,12/27/2025
"@aminehochlef","In 2026, can you explain more of the core concepts surrounding money, the monetary system, economies, basics of finances. In short: financial literacy, that would benefit people a whole lot more that learning about politics, don&#39;t get me wrong, the episodes surrounding politics are enjoyable, but financial literacy is more important. This episode was a very good example of what I&#39;m describing. Ending with a quote from a movie:<br><br>I do have a test today. that wasn&#39;t bullshit. It&#39;s on European socialism. I mean, really, what&#39;s the point? I&#39;m not European. I don&#39;t plan on being European. So who cares if they&#39;re socialists? They could be fascist anarchists. It still doesn&#39;t change the fact that I don&#39;t own a car. <br>~ Ferris Bueller",0,0,12/27/2025
"@IbrahimAly-z1s","ماشاءالله عليك يا دكتور أشرف و كل سنه وانت طيب",0,0,12/27/2025
"@AAB-qc3rm","في منتهى الخباثه تحاول تههيج الطبقه الفقيره والمتوسطة. للاسف. <br>عند قياس نسبه التضخم، البنوك المركزيه تقوم بقياس السلع الاساسية مثل الطعام ( الطازج)، السكن، الطاقه والمواصلات...<br>يعني لما التضخم ينزل، بلا شك يستفيد منه أيضا الطبقه الفقيره و المتوسطه. بدلا من أن يرتفع السعر ٢٠٪، سوف يرتفع فقط ١٠٪. يعني المواطن أو العائله سوف توفر ١٠٪ مقارنه بالعام السابق",0,0,12/27/2025
"@sajaalabassy5643","شكرا جزيلا وربنا يوفقك <br>تقدم محتوى ممتاز جدا",0,0,12/27/2025
"@YASIR.NASSIR","<a href=""https://www.youtube.com/watch?v=8lU8-CLfQwk&amp;t=1349"">22:29</a> يا ليت نشوف حلقات اكثر تشعبًا بخصوص هذي المواضيع الاجتماعية، فائدة الوعي عظيمة",0,0,12/27/2025
"@MinaMagdySaied","انا لست قليل الفهم ، <br>ولكن القاء الكلام عامل زي القطار المجري ،<br>انا مش بلحق افهم واجمع الفكره ، من سرعه الكلام !<br><br>وشكرا",0,0,12/27/2025
"@lepremier8637","👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",0,0,12/27/2025
"@almahdichahdi3682","يا ريت تتحدث عن كيف تتعامل الدول العربية مع العبئ الإقتصادي للأمراض. وما هي الاستراتيجيات التي تتخذها للتقليل من الإنفاق على الصحة، هذا إن كانت توجد فعلا استراتيجيات واقعية وليس فقط حبر على ورق",0,0,12/27/2025
"@mohamedmontaser4930","ومحتاجين فيديو مهم جدا جدا جدا عن الدهب , خصوصا ان في كلام ان الدهب بقي مبالغ في تقيمه , وده طبعا شيء مش كويس لو حد ناوي يستثمر فيه , وشكرا علي كل شيء والله انت من نعم الله علينا حقيقي3&gt;",0,0,12/27/2025
"@MD_Alwaeli","حلقة قوية 👍🏻",0,0,12/27/2025
"@omarmostafa6051","ممكن حلقه عن الاقتصاد المصري و ايه مستجداته بعد ازنك",0,0,12/27/2025
"@ahmed.ghalwash","اتمنى تتكلم عن الزيادة الاستثنائية لأسعار الذهب (محليا) والصدمة اللي حصلت للمستثمرين بالعقارات (خصوصا الوحدات التجارية والادارية بالمدن الجديدة)",0,0,12/27/2025
"@mussad100","كل سنة وحضرتك بألف خير,برنامج حضرتك نافذة مضيئة في عالمنا العربي.مجهود رائع,هل من الممكن عمل حلقة وبلا تحفظ عن مستقبل مصر الإقتصادي في ظل سياسة إقتصادية غير معلومة وغير محددة المعالم يعتريها كثير من الغموض وعدم الشفافية؟أعلم صعوبة الطلب والحرج ولكن نريد ـن نعرف أين نقف وما هو مسقبل أولادنا في بلدنا الحبيب",0,0,12/27/2025
"@wespeakenghlish","عايزين حلقى عن بدايات المخبر الاقتصادي وازاى توسع وكبر والمشاكل اللى بتواجهكم يعنى تحكى كواليس التصوير",0,0,12/27/2025
"@ziedayari3314","السلام عليكم أستاذ أشرف، أنا أخوك زياد من تونس؛ قبل كل شيء أريد أن أشكرك على برنامجك، هو يفيدني كثيرا. هل ممكن من فضلك أن تقوم بحلقات تقدم فيها إقتصاديات الدول العربية دولة بدولة أو منطقة بمنطقة إبتداء من شمال إفريقيا ثم الشرق الأوسط etc... و في الاخير سمحني على كتابتي بالعربية فأنا لا أجدها جيدا! لكني أعمل ما بوسعي حتى أحسن في مستواي... مع الشكر",0,0,12/27/2025
"@raniaaddala3291","شكراً جزيلاً  أستاذ أشرف إبراهيم معلوماتك أكثر من رائعة في كل حلقة ، يا ريت تتناول موضوع سحب النقد الورقي ( فئة الخمسين والعشرين ) في ليبيا والتي قامت به الدولة لمحاربة السوق السوداء والناس المتحيزة على المال ، وتأثيره العام وعلى الشعب وهل هذا يعمل فعلاً في إصلاح الاقتصاد الليبي ولو على المدى البعيد ، خاصة أنه حالياً مؤثر بشكل كبير على المواطنين العاديين ونرى المستفيدين فقط من تريد الحكومة محاربتهم .",0,0,12/27/2025
