Geography,Views,Watch time (hours),Average view duration
Total,64014726,12018223.7516,0:11:22
EG,13309907,2435580.7832,0:11:03
SA,9348974,1835549.1258,0:11:57
MA,5997055,1097570.1607,0:11:01
DZ,5103357,912711.7829,0:10:47
US,2538342,479943.1023,0:11:26
DE,2490553,493934.0356,0:11:59
IQ,2079062,357731.4772,0:10:27
AE,2034780,411273.5439,0:12:14
JO,1893054,365768.7304,0:11:44
TN,1713395,349873.0932,0:12:19
FR,1435317,278182.0726,0:11:42
CA,1385028,257088.0594,0:11:12
KW,1059581,210277.2989,0:12:02
YE,920701,135849.5434,0:09:13
SY,859598,147079.6406,0:10:25
TR,751849,138406.9991,0:11:10
OM,747016,137525.1577,0:11:16
GB,717905,139461.6225,0:11:44
PS,691529,123094.4223,0:10:46
LY,588412,113500.3998,0:11:40
QA,556675,109984.7121,0:11:59
IL,510691,100186.3544,0:11:54
IT,468659,88422.0134,0:11:24
NL,463972,89023.5012,0:11:36
SE,453684,90995.5926,0:12:07
ES,411872,74821.234,0:10:58
LB,372541,68290.3697,0:11:08
BE,262591,49730.2111,0:11:26
AU,238884,45238.1084,0:11:26
BH,237761,44229.1314,0:11:17
SD,182946,29456.3184,0:09:45
MR,167543,25996.964,0:09:24
AT,144113,28643.4744,0:12:01
NO,110076,22343.3759,0:12:16
CH,105364,19895.7361,0:11:26
SO,96978,13731.9451,0:08:35
DK,80683,15822.6393,0:11:50
RU,74946,13648.4917,0:11:02
MY,73981,14076.0227,0:11:32
EH,60017,10892.0342,0:10:57
IE,54468,10591.4441,0:11:44
PL,50177,9944.7855,0:11:56
FI,49353,9566.4553,0:11:41
RO,41357,8239.8602,0:12:02
BG,40358,7758.1236,0:11:32
JP,38488,7529.2643,0:11:49
GR,34677,7008.3754,0:12:12
ET,29080,4135.2012,0:08:38
BR,27561,5226.8641,0:11:26
CZ,26986,5661.1754,0:12:37
CN,26680,4941.685,0:11:14
ID,26174,4745.5387,0:11:01
PT,25697,4950.4722,0:11:36
IN,25438,4626.0249,0:11:02
SG,23752,4567.8562,0:11:38
CY,22608,4531.3784,0:12:07
TH,20948,4035.7277,0:11:38
KE,18941,3270.3762,0:10:29
HK,18180,3466.4493,0:11:31
HU,18010,3658.5385,0:12:12
KR,17826,3618.6168,0:12:12
PK,16560,1707.4964,0:06:13
IR,16412,2603.8292,0:09:45
NZ,14920,2879.1179,0:11:37
LU,14917,2960.0561,0:11:58
ZA,13756,2698.3481,0:11:47
DJ,13686,1841.5394,0:08:24
TD,13566,1913.0583,0:08:30
UG,12705,2329.2689,0:11:02
GE,11664,2396.709,0:12:20
PH,10593,2076.7252,0:11:50
NG,10576,1926.6731,0:11:01
CI,10255,1748.0534,0:10:17
UA,9810,1944.0258,0:11:55
SS,8439,1462.5439,0:10:24
SN,8304,1530.5896,0:11:05
TW,5917,1215.7199,0:12:19
MX,5730,1098.2683,0:11:31
VN,5564,1068.1435,0:11:31
TZ,5379,1052.6623,0:11:49
AO,5153,946.9132,0:11:01
MT,4965,1017.5213,0:12:20
GH,4569,900.6868,0:11:52
VE,4052,769.9734,0:11:27
AL,3760,706.1622,0:11:17
BY,3535,701.0396,0:11:53
CD,3459,686.864,0:11:56
RW,3260,575.105,0:10:35
ML,3159,502.1641,0:09:32
LT,3002,631.0599,0:12:36
AM,2849,478.471,0:10:05
SK,2817,597.5678,0:12:43
AR,2795,369.4927,0:09:15
HR,2657,540.6947,0:12:13
RS,2574,519.3877,0:12:06
BA,2573,527.9642,0:12:18
CM,2108,400.9812,0:11:24
KZ,1885,407.0345,0:12:57
CL,1865,366.6261,0:11:47
CO,1796,338.8156,0:11:19
GA,1721,331.8467,0:11:34
CG,1696,301.0787,0:10:39
MV,1630,327.7472,0:12:03
AZ,1590,343.4365,0:12:57
NE,1425,208.3638,0:08:49
BD,1268,199.4501,0:09:26
GN,1266,253.1899,0:11:59
KG,1233,240.0435,0:11:41
IS,1231,261.1907,0:12:43
UZ,1166,229.0464,0:11:47
BF,1104,220.4897,0:11:58
EE,1035,226.4363,0:13:07
SL,814,139.4961,0:10:16
ZM,805,135.6251,0:10:06
LV,684,156.8936,0:13:45
SI,631,141.1184,0:13:25
BJ,629,132.2872,0:12:37
MW,618,58.4852,0:05:40
MZ,578,103.7363,0:10:46
MD,540,113.4614,0:12:36
TG,431,80.3696,0:11:11
GM,426,81.9353,0:11:32
EC,335,56.0936,0:10:02
AF,226,41.5128,0:11:13
PA,207,35.4631,0:10:16
PE,205,40.9779,0:11:59
LR,150,26.1168,0:10:26
PR,108,16.0364,0:08:54
GQ,103,22.1274,0:12:53
MU,100,15.8992,0:09:32
MM,97,14.2078,0:08:47
CU,79,12.1023,0:09:11
SC,71,15.0138,0:12:41
MG,44,8.9998,0:12:16
AD,33,5.9283,0:10:46
PY,32,5.4166,0:10:09
MK,31,4.4869,0:08:41
GF,21,3.9239,0:11:12
BN,12,1.5502,0:07:45
HT,12,1.8588,0:09:17
PW,12,2.4433,0:12:13
BW,11,1.1362,0:06:11
CR,11,1.4987,0:08:10
KH,11,3.5087,0:19:08
ME,11,3.0889,0:16:50
TT,11,1.6031,0:08:44
BI,10,1.8515,0:11:06
KM,10,1.5043,0:09:01
TJ,10,2.2141,0:13:17
