Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,64014726,12018223.7516,0:11:22,660776935,5.59
Browse features,29621344,5372223.1479,0:10:53,284761273,8.6
Suggested videos,24183338,5144403.3505,0:12:45,327667360,3.03
Other YouTube features,2780097,512560.8711,0:11:05,,
YouTube search,1600075,269455.2738,0:10:14,17737487,7.61
Direct or unknown,1581799,197935.4177,0:07:30,,
Channel pages,1178993,211999.6725,0:10:54,24711071,4.06
Shorts feed,1108241,11792.2418,0:01:09,,
YouTube advertising,485285,71109.675,0:08:47,,
Notifications,475948,60739.4293,0:07:50,,
External,459573,49052.3977,0:06:24,,
Playlists,380250,90285.4941,0:14:15,5899744,2.66
End screens,127394,23524.8339,0:11:04,,
Related Shorts,26380,2299.1575,0:05:13,,
Hashtag pages,3246,364.3621,0:06:47,,
Video cards and annotations,2540,470.2845,0:11:06,,
Sound pages,195,3.7165,0:02:01,,
Live redirect,24,4.2499,0:10:37,,
Vertical live feed,3,0.0003,,,
Remixed video,1,0.1757,0:10:32,,
